Year,Title,Theater,Day of the Week,Date,Time,Saw with April
2016,Deadpool,Mall St. Matthews,Saturday,2/13/2016,10:50 AM,Y
2016,Eddie the Eagle,Tinseltown,Wednesday,3/2/2016,11:25 AM,N
2016,Zootopia,Baxter Avenue,Monday,3/7/2016,7:00 PM,Y
2016,London Has Fallen,Baxter Avenue,Tuesday,3/8/2016,12:50 PM,N
2016,10 Cloverfield Lane,Baxter Avenue,Monday,3/14/2016,1:30 PM,N
2016,Zootopia,Tinseltown,Monday,3/14/2016,5:50 PM,Y
2016,Boy and the Beast,Baxter Avenue,Tuesday,3/22/2016,1:30 PM,N
2016,Batman vs Superman,Tinseltown,Saturday,4/2/2016,1:05 PM,Y
2016,The Jungle Book,Baxter Avenue,Monday,4/18/2016,7:05 PM,Y
2016,Empire of Corpses,Baxter Avenue,Wednesday,4/20/2016,7:30 PM,Y
2016,Huntsman Winter's War,Baxter Avenue,Monday,4/25/2016,1:30 PM,Y
2016,Captain America: Civil War,Baxter Avenue,Thursday,5/5/2016,20:00,Y
2016,Captain America: Civil War,Mall St. Matthews,Saturday,5/7/2016,10:45 AM,Y
2016,Sing Street,Baxter Avenue,Monday,5/16/2016,7:30 PM,Y
2016,Neighbors 2,Baxter Avenue,Monday,5/23/2016,1:10 PM,Y
2016,X-Men: Apocalypse,Baxter Avenue,Thursday,5/26/2016,7:00 PM,Y
2016,Teenage Mutant Ninja Turtles: Out of the Shadows,Baxter Avenue,Monday,6/6/2016,1:30 PM,N
2016,Now You See Me 2,Baxter Avenue,Saturday,6/11/2016,4:15 PM,Y
2016,The Nice Guys,Tinseltown,Tuesday,6/14/2016,10:50 AM,N
2016,Dory After Dark,Tinseltown,Thursday,6/16/2016,7:00 PM,Y
2016,Warcraft,Mall St. Matthews,Thursday,6/23/2016,1:30 PM,N
2016,Independence Day: Resurgence,Baxter Avenue,Tuesday,6/28/2016,1:30 PM,N
2016,Central Intelligence,Mall St. Matthews,Monday,7/4/2016,11:05 AM,N
2016,Mike and Dave Need Wedding Dates,Baxter Avenue,Saturday,7/9/2016,1:40 PM,Y
2016,Finding Dory,Georgetown Drive-In,Sunday,7/10/2016,9:30 PM,Y
2016,The BFG,Tinseltown,Tuesday,7/26/2016,10:40 AM,N
2016,Legend of Tarzan,Baxter Avenue,Tuesday,7/26/2016,1:20 PM,N
2016,Ghostbusters (2016),Baxter Avenue,Monday,8/1/2016,1:25 PM,Y
2016,Bad Moms,Baxter Avenue,Saturday,8/6/2016,4:40 PM,Y
2016,Suicide Squad,Baxter Avenue,Tuesday,8/9/2016,1:10 PM,N
2016,Star Trek: Beyond ,Mall St. Matthews,Saturday,8/13/2016,2:00 PM,N
2016,Pete's Dragon,Baxter Avenue,Sunday,8/21/2016,1:30 PM,Y
2016,Kubo and the 2 Strings,Baxter Avenue,Tuesday,8/23/2016,1:15 PM,N
